"date","Hour","Usage","LagRP","LeadRP","LagPF","LeadPF","CO2","LtypeLight_Load","LtypeMaximum_Load","LtypeMedium_Load","WstatusWeekday","WstatusWeekend","DweekFriday","DweekMonday","DweekSaturday","DweekSunday","DweekThursday","DweekTuesday","DweekWednesday"
"2018-01-01"," 1"," 449","1068","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 3"," 453","1506","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","10"," 733","   2","1685","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","20"," 613","   2","1725","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-02"," 9","1379","4034","  10","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","0","0","0","0","1","0"
"2018-01-02","10","1846","2521"," 523"," 99.439999999999998","  0.000000000000000","0.0000000000000000000","0","0","1","1","0","0","0","0","0","0","1","0"
"2018-01-02","13","4059","3257","2138"," 99.209999999999994","  0.000000000000000","0.0000000000000000000","0","0","1","1","0","0","0","0","0","0","1","0"
"2018-01-02","16","4174","2465","   2"," 91.370000000000005","  0.000000000000000","0.0000000000000000000","0","0","1","1","0","0","0","0","0","0","1","0"
"2018-01-02","17","4135","2039","   2"," 92.489999999999995","  0.000000000000000","0.0000000000000000000","0","0","1","1","0","0","0","0","0","0","1","0"
"2018-01-02","19"," 844","3197"," 504"," 95.849999999999994","  0.000000000000000","0.0000000000000000000","0","1","0","1","0","0","0","0","0","0","1","0"
"2018-01-02","21","4263","  56","1300"," 99.980000000000004","  0.000000000000000","0.0000000000000000000","0","0","1","1","0","0","0","0","0","0","1","0"
